ID,Sex,Age,AgeGroup,EthnicGroup,Education,SES,DeprivationIndex,Victim,confpolice,antisoc
147258090.0,Male,27.0,2,White,ALevel,2.0,1.0,0.0,-0.0873687073786762,-0.92
147258170.0,Male,25.0,2,White,ALevel,1.0,4.0,1.0,-1.833634138757688,0.73
147258210.0,Female,47.0,4,White,University,1.0,1.0,1.0,1.0801924822061275,-0.24
147258290.0,Female,60.0,5,White,ALevel,6.0,1.0,0.0,-0.5340877712198188,-0.78
147259050.0,Male,57.0,5,White,GCSE,5.0,1.0,1.0,1.0700397762097382,-0.78
147259090.0,Female,29.0,2,Asian or Asian British,GCSE,3.0,1.0,0.0,0.3593503564624661,0.19
147259130.0,Female,27.0,2,White,Other,6.0,1.0,0.0,0.1055327065527261,0.69
147259170.0,Female,43.0,3,White,GCSE,5.0,1.0,0.0,99.0,1.22
147259210.0,Male,31.0,2,Asian or Asian British,University,5.0,1.0,1.0,1.0700397762097382,-0.03
147259250.0,Male,77.0,7,White,Other,1.0,1.0,0.0,0.1156854125491157,0.47
147259290.0,Male,24.0,1,Asian or Asian British,University,5.0,2.0,0.0,0.613168006372206,0.5
147260010.0,Female,65.0,6,White,99,3.0,1.0,1.0,-0.0366051773967282,-0.23
147260050.0,Female,48.0,4,White,University,4.0,5.0,0.0,0.3796557684552454,-0.23
147260090.0,Male,30.0,2,White,ALevel,1.0,5.0,0.0,0.1156854125491157,1.22
147260130.0,Female,63.0,5,White,University,1.0,5.0,0.0,0.866985656281946,1.22
147260210.0,Female,40.0,3,White,ALevel,5.0,1.0,0.0,99.0,-1.17
147260250.0,Female,72.0,6,White,99,5.0,1.0,0.0,0.1055327065527261,-0.69
147260290.0,Male,48.0,4,White,GCSE,1.0,4.0,0.0,0.3593503564624661,1.22
147261090.0,Male,64.0,5,White,ALevel,5.0,1.0,0.0,-1.214319072977922,0.51
147261130.0,Male,69.0,6,White,University,5.0,4.0,0.0,-0.7980581271259483,-2.18
147261170.0,Male,65.0,6,White,99,5.0,2.0,0.0,0.3593503564624661,0.24
147261210.0,Female,54.0,4,White,GCSE,3.0,3.0,0.0,0.3593503564624661,-0.7
147262050.0,Female,47.0,4,Black or Black British,GCSE,5.0,1.0,0.0,1.0700397762097382,-0.14
147262250.0,Female,22.0,1,Black or Black British,GCSE,6.0,1.0,1.0,-1.1534028369995843,-0.15
147263010.0,Male,47.0,4,White,ALevel,4.0,1.0,0.0,-0.6356148311837148,-1.42
147263090.0,Female,63.0,5,White,99,4.0,1.0,0.0,-0.2904228273064683,-0.34
147263210.0,Male,44.0,3,Asian or Asian British,GCSE,1.0,1.0,1.0,1.3340101321158675,-2.41
147263250.0,Female,43.0,3,White,GCSE,5.0,1.0,0.0,-2.8996682683785955,0.3
147264010.0,Female,64.0,5,White,99,6.0,2.0,1.0,-3.427608980190855,99.0
147264050.0,Male,44.0,3,White,University,1.0,4.0,1.0,0.3593503564624661,-0.72
